Code,Population
41190A,851012.0 
41590,726498.0 
41360,674771.0 
11710,665620.0 
41270,664842.0 
45110,651435.0 
44130,639199.0 
11500,600798.0 
41170,583447.0 
27290,574943.0 
11350,550166.0 
11680,548745.0 
28200,538568.0 
48250,531951.0 
28237,531827.0 
28260,530274.0 
47110,511298.0 
11620,504027.0 
41135,498377.0 
41220,487798.0 
30170,487204.0 
11380,485121.0 
50110,482285.0 
11470,467724.0 
41281,451373.0 
41150,442924.0 
41480,442585.0 
11290,440937.0 
27230,440575.0 
11650,440166.0 
29170,439384.0 
27260,435715.0 
41390,434273.0 
11740,433034.0 
47190,422268.0 
41463,420660.0 
28170,419285.0 
26350,411471.0 
11530,407529.0 
11260,406102.0 
41570,404115.0 
29200,403797.0 
11590,394564.0 
44133,384134.0 
11440,374630.0 
41113,373820.0 
11560,369230.0 
26230,368321.0 
41271,362906.0 
11215,356176.0 
41465,354948.0 
45111,354882.0 
41610,353550.0 
27140,351518.0 
41117,351132.0 
11230,348462.0 
30200,347894.0 
48170,346133.0 
48330,344270.0 
11320,342234.0 
42130,342010.0 
28185,339395.0 
31140,332576.0 
26380,331356.0 
41210,330789.0 
41173,329783.0 
11305,322802.0 
28245,317502.0 
44200,311812.0 
11410,311539.0 
11200,307630.0 
29140,305108.0 
41273,301936.0 
26320,300372.0 
36110,297604.0 
41287,297530.0 
45140,296763.0 
45113,296553.0 
41285,293224.0 
41111,291190.0 
46130,285317.0 
42110,280503.0 
46150,279968.0 
41410,279354.0 
26290,276812.0 
45130,273853.0 
47113,271233.0 
26260,269639.0 
47290,258945.0 
47130,256915.0 
44131,255065.0 
48121,253887.0 
41171,253664.0 
43113,253639.0 
48310,251710.0 
27710,247460.0 
30140,246810.0 
26410,244341.0 
41450,240648.0 
47111,240065.0 
41131,236494.0 
41461,235570.0 
31110,235339.0 
11545,233583.0 
46110,233125.0 
11170,229896.0 
41133,228426.0 
30110,228291.0 
48123,228067.0 
26530,226092.0 
31710,220931.0 
41370,217927.0 
29155,217305.0 
43112,214969.0 
41500,213592.0 
42150,213238.0 
41630,212385.0 
43130,209695.0 
26470,205456.0 
31200,204875.0 
41310,200832.0 
48127,200493.0 
43114,195112.0 
48129,191608.0 
27170,189044.0 
41115,186107.0 
30230,185035.0 
41550,182278.0 
48125,181864.0 
50130,180348.0 
26500,178473.0 
44210,172290.0 
43111,171705.0 
44270,167598.0 
31170,166936.0 
47170,163006.0 
26710,162717.0 
41430,154413.0 
11110,154104.0 
46230,152865.0 
41650,152298.0 
27200,151993.0 
47150,142164.0 
43150,135947.0 
48220,134729.0 
11140,126152.0 
26200,122125.0 
44230,121447.0 
47850,119712.0 
26440,119002.0 
28110,118860.0 
41830,115646.0 
48240,114195.0 
45180,113236.0 
46170,112010.0 
41670,111815.0 
26140,110244.0 
47210,107682.0 
44150,107678.0 
48270,107229.0 
44180,102625.0 
44800,101531.0 
47230,100380.0 
47250,100356.0 
41250,96955.0 
43770,96932.0 
45710,95264.0 
29110,94970.0 
42170,91802.0 
26170,87988.0 
45210,86433.0 
45190,82905.0 
46840,82403.0 
42210,81726.0 
44810,80424.0 
27110,78688.0 
43750,75623.0 
46820,72834.0 
47280,72675.0 
42720,70148.0 
28710,68723.0 
42230,68668.0 
44760,68596.0 
48730,67702.0 
28140,67586.0 
46770,66376.0 
46790,64444.0 
48740,64000.0 
44825,63784.0 
41820,63006.0 
48880,62814.0 
45790,57934.0 
41290,57086.0 
45800,55508.0 
46830,55223.0 
44770,54724.0 
46870,54660.0 
48820,53706.0 
44710,53666.0 
47730,53243.0 
46890,51941.0 
47900,51924.0 
43730,51757.0 
47930,50527.0 
43740,50063.0 
48850,47969.0 
46710,47188.0 
42780,46892.0 
48890,46664.0 
42730,46466.0 
46880,46163.0 
42190,45518.0 
41800,44958.0 
47840,44836.0 
48840,44379.0 
44250,43920.0 
26110,43725.0 
46780,43624.0 
47820,43238.0 
42760,42839.0 
46910,42069.0 
48870,40129.0 
42750,40033.0 
46800,39850.0 
47770,38459.0 
43760,38443.0 
42770,37971.0 
43745,37733.0 
46810,36692.0 
48860,36272.0 
46860,34071.0 
43720,33921.0 
47830,33462.0 
47920,33221.0 
44790,32324.0 
42810,32276.0 
46900,31634.0 
43800,30283.0 
46720,30208.0 
45770,29510.0 
45750,29302.0 
42820,28651.0 
48720,27855.0 
42830,27325.0 
46730,27061.0 
45720,26219.0 
47750,25909.0 
42790,25574.0 
45730,24724.0 
47720,24607.0 
42800,23651.0 
45740,23058.0 
28720,21235.0 
47760,17507.0 
47940,9982.0 
